Test_ID,Test_Type,CPU_Usage_Avg,Memory_Usage_Avg,FPS_Avg,Processing_Time
TEST_20250821_083701_3a9c7262,antispoofing,55.72,11867.78,25.0,0.65
TEST_20250821_083703_0fe13595,antispoofing,24.82,11871.98,25.0,0.7
TEST_20250821_083706_00fa3333,antispoofing,27.48,11869.84,25.0,0.75
TEST_20250821_083708_1bfe19ca,face_recognition,37.53,11876.55,30.0,0.42
TEST_20250821_083710_503260fe,face_recognition,33.48,11835.01,30.0,0.5
TEST_20250821_083713_ab53d096,integration,37.84,11838.31,20.0,15.3
